time,barcode,count
2023-08-04T00:00:00.000-06:00,716902,1
2023-08-04T00:00:00.000-06:00,745902,3
2023-08-04T00:00:00.000-06:00,760902,2
2023-08-04T00:00:00.000-06:00,787402,1
2023-08-04T00:00:00.000-06:00,791302,1
2023-08-04T00:00:00.000-06:00,798902,1
2023-08-04T00:00:00.000-06:00,880402,1
2023-08-04T00:00:00.000-06:00,:30002,3
2023-08-05T00:00:00.000-06:00,2,43437
2023-08-05T00:00:00.000-06:00,3,232
2023-08-05T00:00:00.000-06:00,4,108
2023-08-05T00:00:00.000-06:00,5,6673
2023-08-05T00:00:00.000-06:00,0.444444444,1
2023-08-05T00:00:00.000-06:00,84702,1
2023-08-05T00:00:00.000-06:00,112702,2
2023-08-05T00:00:00.000-06:00,140702,1
2023-08-05T00:00:00.000-06:00,446802,1
2023-08-05T00:00:00.000-06:00,528802,1
2023-08-05T00:00:00.000-06:00,611902,1
2023-08-05T00:00:00.000-06:00,686902,1
2023-08-05T00:00:00.000-06:00,706902,1
2023-08-05T00:00:00.000-06:00,707902,1
2023-08-05T00:00:00.000-06:00,744902,1
2023-08-05T00:00:00.000-06:00,745902,1
2023-08-05T00:00:00.000-06:00,760902,1
2023-08-05T00:00:00.000-06:00,780902,1
2023-08-06T00:00:00.000-06:00,2,37251
2023-08-06T00:00:00.000-06:00,3,215
2023-08-06T00:00:00.000-06:00,4,118
2023-08-06T00:00:00.000-06:00,5,6073
2023-08-06T00:00:00.000-06:00,0.277777778,1
2023-08-06T00:00:00.000-06:00,0.388888889,1
2023-08-06T00:00:00.000-06:00,140702,1
2023-08-06T00:00:00.000-06:00,307802,1
2023-08-06T00:00:00.000-06:00,344802,1
2023-08-06T00:00:00.000-06:00,560902,1
2023-08-06T00:00:00.000-06:00,577602,1
2023-08-06T00:00:00.000-06:00,640402,1
2023-08-06T00:00:00.000-06:00,687902,1
2023-08-06T00:00:00.000-06:00,707902,1
2023-08-06T00:00:00.000-06:00,736102,1
2023-08-06T00:00:00.000-06:00,744902,1
2023-08-06T00:00:00.000-06:00,798902,2
2023-08-07T00:00:00.000-06:00,2,109368
2023-08-07T00:00:00.000-06:00,3,662
2023-08-07T00:00:00.000-06:00,4,326
2023-08-07T00:00:00.000-06:00,5,18257
2023-08-07T00:00:00.000-06:00,6302,1
2023-08-07T00:00:00.000-06:00,84702,1
2023-08-07T00:00:00.000-06:00,90402,1
2023-08-07T00:00:00.000-06:00,112702,4
2023-08-07T00:00:00.000-06:00,127302,1
2023-08-07T00:00:00.000-06:00,140702,1
2023-08-07T00:00:00.000-06:00,171702,1
2023-08-07T00:00:00.000-06:00,229502,1
2023-08-07T00:00:00.000-06:00,230904,1
2023-08-07T00:00:00.000-06:00,31:500,1
2023-08-07T00:00:00.000-06:00,328605,1
2023-08-07T00:00:00.000-06:00,344802,1
2023-08-07T00:00:00.000-06:00,394802,1
2023-08-07T00:00:00.000-06:00,416802,1
2023-08-07T00:00:00.000-06:00,444802,1
2023-08-07T00:00:00.000-06:00,445802,1
2023-08-07T00:00:00.000-06:00,446802,2
2023-08-07T00:00:00.000-06:00,448802,1
2023-08-07T00:00:00.000-06:00,477102,1
2023-08-07T00:00:00.000-06:00,487802,1
2023-08-07T00:00:00.000-06:00,508802,1
2023-08-07T00:00:00.000-06:00,532102,1
2023-08-07T00:00:00.000-06:00,561602,1
2023-08-07T00:00:00.000-06:00,603602,1
2023-08-07T00:00:00.000-06:00,630302,1
2023-08-07T00:00:00.000-06:00,643902,2
2023-08-07T00:00:00.000-06:00,660702,1
2023-08-07T00:00:00.000-06:00,686902,1
2023-08-07T00:00:00.000-06:00,687902,1
2023-08-07T00:00:00.000-06:00,706902,1
2023-08-07T00:00:00.000-06:00,715902,1
2023-08-07T00:00:00.000-06:00,716902,1
2023-08-07T00:00:00.000-06:00,798902,1
2023-08-07T00:00:00.000-06:00,880402,4
2023-08-07T00:00:00.000-06:00,:30002,1
2023-08-08T00:00:00.000-06:00,2,125628
2023-08-08T00:00:00.000-06:00,3,793
2023-08-08T00:00:00.000-06:00,4,413
2023-08-08T00:00:00.000-06:00,5,19456
2023-08-08T00:00:00.000-06:00,1902,1
2023-08-08T00:00:00.000-06:00,6302,1
2023-08-08T00:00:00.000-06:00,40402,1
2023-08-08T00:00:00.000-06:00,112702,4
2023-08-08T00:00:00.000-06:00,135502,1
2023-08-08T00:00:00.000-06:00,140702,1
2023-08-08T00:00:00.000-06:00,317905,1
2023-08-08T00:00:00.000-06:00,351504,1
2023-08-08T00:00:00.000-06:00,523502,1
2023-08-08T00:00:00.000-06:00,539902,1
2023-08-08T00:00:00.000-06:00,561602,1
2023-08-08T00:00:00.000-06:00,611902,2
2023-08-08T00:00:00.000-06:00,627602,1
2023-08-08T00:00:00.000-06:00,649702,1
2023-08-08T00:00:00.000-06:00,672902,1
2023-08-08T00:00:00.000-06:00,686902,1
2023-08-08T00:00:00.000-06:00,687702,2
2023-08-08T00:00:00.000-06:00,687902,2
2023-08-08T00:00:00.000-06:00,716902,2
2023-08-08T00:00:00.000-06:00,734902,1
2023-08-08T00:00:00.000-06:00,759902,1
2023-08-08T00:00:00.000-06:00,880402,3
2023-08-08T00:00:00.000-06:00,:30002,1
2023-08-09T00:00:00.000-06:00,2,121626
2023-08-09T00:00:00.000-06:00,3,703
2023-08-09T00:00:00.000-06:00,4,358
2023-08-09T00:00:00.000-06:00,5,17779
2023-08-09T00:00:00.000-06:00,1902,1
2023-08-09T00:00:00.000-06:00,6302,3
2023-08-09T00:00:00.000-06:00,11702,1
2023-08-09T00:00:00.000-06:00,17702,1
2023-08-09T00:00:00.000-06:00,112702,9
2023-08-09T00:00:00.000-06:00,145702,1
2023-08-09T00:00:00.000-06:00,258802,1
2023-08-09T00:00:00.000-06:00,307802,1
2023-08-09T00:00:00.000-06:00,321305,1
2023-08-09T00:00:00.000-06:00,394802,1
2023-08-09T00:00:00.000-06:00,447802,1
2023-08-09T00:00:00.000-06:00,480001,1
2023-08-09T00:00:00.000-06:00,487802,1
2023-08-09T00:00:00.000-06:00,505202,1
2023-08-09T00:00:00.000-06:00,508802,1
2023-08-09T00:00:00.000-06:00,640402,1
2023-08-09T00:00:00.000-06:00,643902,1
2023-08-09T00:00:00.000-06:00,649702,1
2023-08-09T00:00:00.000-06:00,670402,2
2023-08-09T00:00:00.000-06:00,672902,1
2023-08-09T00:00:00.000-06:00,686902,1
2023-08-09T00:00:00.000-06:00,706902,3
2023-08-09T00:00:00.000-06:00,707902,1
2023-08-09T00:00:00.000-06:00,780902,1
2023-08-10T00:00:00.000-06:00,2,122029
2023-08-10T00:00:00.000-06:00,3,681
2023-08-10T00:00:00.000-06:00,4,360
2023-08-10T00:00:00.000-06:00,5,18516
2023-08-10T00:00:00.000-06:00,6302,2
2023-08-10T00:00:00.000-06:00,112702,6
2023-08-10T00:00:00.000-06:00,142702,1
2023-08-10T00:00:00.000-06:00,145702,1
2023-08-10T00:00:00.000-06:00,171702,1
2023-08-10T00:00:00.000-06:00,178702,1
2023-08-10T00:00:00.000-06:00,208702,1
2023-08-10T00:00:00.000-06:00,258802,1
2023-08-10T00:00:00.000-06:00,307802,1
2023-08-10T00:00:00.000-06:00,311405,1
2023-08-10T00:00:00.000-06:00,31:300,1
2023-08-10T00:00:00.000-06:00,417802,1
2023-08-10T00:00:00.000-06:00,446802,1
2023-08-10T00:00:00.000-06:00,486802,1
2023-08-10T00:00:00.000-06:00,506602,1
2023-08-10T00:00:00.000-06:00,508802,1
2023-08-10T00:00:00.000-06:00,555902,3
2023-08-10T00:00:00.000-06:00,561602,1
2023-08-10T00:00:00.000-06:00,611902,1
2023-08-10T00:00:00.000-06:00,614902,1
2023-08-10T00:00:00.000-06:00,643902,5
2023-08-10T00:00:00.000-06:00,670402,1
2023-08-10T00:00:00.000-06:00,686902,2
2023-08-10T00:00:00.000-06:00,706902,2
